Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,asymmetric,0.01,0.25959393088376775
75% Corpus,3,asymmetric,0.31,0.25959393088376775
75% Corpus,3,asymmetric,0.61,0.25959393088376775
75% Corpus,3,asymmetric,0.9099999999999999,0.26189697188882394
75% Corpus,3,asymmetric,symmetric,0.25959393088376775
75% Corpus,4,0.01,0.01,0.26162336030122946
75% Corpus,4,0.01,0.31,0.26057916430260275
75% Corpus,4,0.01,0.61,0.26070491737492446
75% Corpus,4,0.01,0.9099999999999999,0.26451556414004834
75% Corpus,4,0.01,symmetric,0.26014893730586214
75% Corpus,4,0.31,0.01,0.26162336030122946
75% Corpus,4,0.31,0.31,0.26057916430260275
75% Corpus,4,0.31,0.61,0.26070491737492446
75% Corpus,4,0.31,0.9099999999999999,0.26451556414004834
75% Corpus,4,0.31,symmetric,0.26014893730586214
75% Corpus,4,0.61,0.01,0.26162336030122946
75% Corpus,4,0.61,0.31,0.25954119990496816
75% Corpus,4,0.61,0.61,0.26070491737492446
75% Corpus,4,0.61,0.9099999999999999,0.26451556414004834
75% Corpus,4,0.61,symmetric,0.26014893730586214
75% Corpus,4,0.9099999999999999,0.01,0.26162336030122946
75% Corpus,4,0.9099999999999999,0.31,0.25954119990496816
75% Corpus,4,0.9099999999999999,0.61,0.26070491737492446
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.26451556414004834
75% Corpus,4,0.9099999999999999,symmetric,0.26014893730586214
75% Corpus,4,symmetric,0.01,0.26162336030122946
75% Corpus,4,symmetric,0.31,0.26057916430260275
75% Corpus,4,symmetric,0.61,0.26070491737492446
75% Corpus,4,symmetric,0.9099999999999999,0.26451556414004834
75% Corpus,4,symmetric,symmetric,0.26014893730586214
75% Corpus,4,asymmetric,0.01,0.26162336030122946
75% Corpus,4,asymmetric,0.31,0.26109527523305254
75% Corpus,4,asymmetric,0.61,0.26070491737492446
75% Corpus,4,asymmetric,0.9099999999999999,0.26451556414004834
75% Corpus,4,asymmetric,symmetric,0.26014893730586214
75% Corpus,5,0.01,0.01,0.26917852191725355
75% Corpus,5,0.01,0.31,0.26598090056744006
75% Corpus,5,0.01,0.61,0.26641336261574805
75% Corpus,5,0.01,0.9099999999999999,0.27678310304194514
75% Corpus,5,0.01,symmetric,0.26598090056744006
75% Corpus,5,0.31,0.01,0.26917852191725355
75% Corpus,5,0.31,0.31,0.26598090056744006
75% Corpus,5,0.31,0.61,0.26641336261574805
75% Corpus,5,0.31,0.9099999999999999,0.27678310304194514
75% Corpus,5,0.31,symmetric,0.26598090056744006
75% Corpus,5,0.61,0.01,0.26917852191725355
75% Corpus,5,0.61,0.31,0.26598090056744006
75% Corpus,5,0.61,0.61,0.26641336261574805
75% Corpus,5,0.61,0.9099999999999999,0.27678310304194514
75% Corpus,5,0.61,symmetric,0.26598090056744006
75% Corpus,5,0.9099999999999999,0.01,0.26917852191725355
75% Corpus,5,0.9099999999999999,0.31,0.26598090056744006
75% Corpus,5,0.9099999999999999,0.61,0.26359582830301703
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.27678310304194514
75% Corpus,5,0.9099999999999999,symmetric,0.26598090056744006
75% Corpus,5,symmetric,0.01,0.26917852191725355
