Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.2898049503952161
100% Corpus,9,0.31,symmetric,0.26835457179849176
100% Corpus,9,0.61,0.01,0.2635735130744561
100% Corpus,9,0.61,0.31,0.2558661773568722
100% Corpus,9,0.61,0.61,0.2907896790001344
100% Corpus,9,0.61,0.9099999999999999,0.2898049503952161
100% Corpus,9,0.61,symmetric,0.26835457179849176
100% Corpus,9,0.9099999999999999,0.01,0.2635735130744561
100% Corpus,9,0.9099999999999999,0.31,0.2558661773568722
100% Corpus,9,0.9099999999999999,0.61,0.2907896790001344
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.2898049503952161
100% Corpus,9,0.9099999999999999,symmetric,0.26835457179849176
100% Corpus,9,symmetric,0.01,0.26357351307445614
100% Corpus,9,symmetric,0.31,0.2550461404021342
100% Corpus,9,symmetric,0.61,0.2907896790001344
100% Corpus,9,symmetric,0.9099999999999999,0.2898049503952161
100% Corpus,9,symmetric,symmetric,0.2681047225344601
100% Corpus,9,asymmetric,0.01,0.2641858871824287
100% Corpus,9,asymmetric,0.31,0.2504976549354716
100% Corpus,9,asymmetric,0.61,0.29078967900013436
100% Corpus,9,asymmetric,0.9099999999999999,0.2898049503952161
100% Corpus,9,asymmetric,symmetric,0.2582416562939675
100% Corpus,10,0.01,0.01,0.26538762099286506
100% Corpus,10,0.01,0.31,0.26643815598490705
100% Corpus,10,0.01,0.61,0.2779984399042347
100% Corpus,10,0.01,0.9099999999999999,0.30323635855239817
100% Corpus,10,0.01,symmetric,0.2634267588518763
100% Corpus,10,0.31,0.01,0.2659982942004199
100% Corpus,10,0.31,0.31,0.26643815598490705
100% Corpus,10,0.31,0.61,0.2779984399042347
100% Corpus,10,0.31,0.9099999999999999,0.30323635855239817
100% Corpus,10,0.31,symmetric,0.2634267588518763
100% Corpus,10,0.61,0.01,0.2661390410471778
100% Corpus,10,0.61,0.31,0.26734330525460254
100% Corpus,10,0.61,0.61,0.2779984399042347
100% Corpus,10,0.61,0.9099999999999999,0.30323635855239817
100% Corpus,10,0.61,symmetric,0.26433190812157176
100% Corpus,10,0.9099999999999999,0.01,0.2662093511230268
100% Corpus,10,0.9099999999999999,0.31,0.26757355345802813
100% Corpus,10,0.9099999999999999,0.61,0.2779984399042347
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.30323635855239817
100% Corpus,10,0.9099999999999999,symmetric,0.26433190812157176
100% Corpus,10,symmetric,0.01,0.26538762099286506
100% Corpus,10,symmetric,0.31,0.26643815598490705
100% Corpus,10,symmetric,0.61,0.2779984399042347
100% Corpus,10,symmetric,0.9099999999999999,0.30323635855239817
100% Corpus,10,symmetric,symmetric,0.2634267588518763
100% Corpus,10,asymmetric,0.01,0.26538762099286506
100% Corpus,10,asymmetric,0.31,0.26643815598490705
100% Corpus,10,asymmetric,0.61,0.2779984399042347
100% Corpus,10,asymmetric,0.9099999999999999,0.30313865710845816
100% Corpus,10,asymmetric,symmetric,0.2634267588518763
