book_index,book_title,"Topic 0: ['friend', 'exclaimed', 'returned', 'among']","Topic 1: ['yet', 'enough', 'day', 'back']","Topic 2: ['know', 'away', 'night', 'nothing']","Topic 3: ['back', 'cried', 'away', 'look']","Topic 4: ['know', 'school', 'last', 'day']","Topic 5: ['deck', 'away', 'first', 'moment']","Topic 6: ['replied', 'soon', 'day', 'take']"
87,1895_kipling-the-second-jungle-book,0.0107,0.151,0.1889,0.6366,0.0006,0.0038,0.0085
88,1895_reed-kilgorman-a-story-of-ireland-in-1798,0.0534,0.2706,0.2244,0.0185,0.1685,0.1639,0.1007
89,1896_collingswood-the-log-of-privateersman,0.0923,0.0058,0.0344,0.0085,0.008,0.8342,0.0167
90,1897_kipling-captains-courageous-a-story-of-the-grand-banks,0.0354,0.122,0.0984,0.5005,0.1096,0.1335,0.0005
91,1898_collingwood-a-pirate-of-the-caribbees,0.113,0.001,0.0392,0.0218,0.0117,0.8133,0.0
92,1898_farrow-the-wallypug-in-london,0.1582,0.0026,0.2964,0.0416,0.4289,0.0129,0.0594
93,1899_collingwood-the-castaways,0.1677,0.0,0.071,0.0066,0.0212,0.7335,0.0
94,1899_kipling-stalky-and-co,0.0756,0.1016,0.1782,0.1055,0.5203,0.0084,0.0105
95,1900_farrow-the-jungle-baby,0.0013,0.0004,0.6362,0.319,0.0007,0.0027,0.0396
96,1900_hemyng-jack-harkaway-and-his-sons-escape-from-the-brigands-of-greece,0.2219,0.2474,0.2268,0.0451,0.1413,0.0726,0.0449
97,1906_collingwood-across-the-spanish-main-a-tale-of-the-sea-in-the-days-of-queen-bess,0.1009,0.0797,0.0638,0.0667,0.0,0.5529,0.136
98,1907_collingwood-with-airship-and-submarine-a-tale-of-adventure,0.2377,0.0002,0.0631,0.0586,0.0202,0.5446,0.0756
99,1908_collingwood-a-middy-in-command-a-tale-of-the-slave-squadron,0.1108,0.0,0.0592,0.0101,0.0163,0.7892,0.0145
100,1908_collingwood-under-the-chilian-flag-a-tale-of-war-between-chili-and-peru,0.1081,0.0241,0.0264,0.038,0.0228,0.5868,0.1938
101,1909_collingwood-harry-escombe-a-tale-of-adventure-in-peru,0.382,0.0309,0.0996,0.0038,0.0202,0.3568,0.1066
102,1909_collingwood-the-cruise-of-the-thetis-a-tale-of-the-cuban-insurrection,0.1554,0.0179,0.0317,0.0002,0.0772,0.5681,0.1495
103,1910_collingwood-a-middy-of-the-slave-squadron-a-west-african-story,0.1625,0.0001,0.0289,0.0474,0.0088,0.7063,0.0458
104,1910_kipling-rewards-and-fairies,0.0059,0.3522,0.3296,0.2546,0.0411,0.0126,0.0039
105,1911_collingwood-a-middy-of-the-king-a-romance-of-the-old-british-navy,0.1086,0.0033,0.0358,0.0181,0.0064,0.7908,0.037
106,1911_collingwood-the-adventures-of-dick-maitland-a-tale-of-unknown-africa,0.3522,0.0203,0.0724,0.0093,0.0509,0.3198,0.1751
107,1912_collingwood-two-gallant-sons-of-davon-a-tale-of-the-days-of-queen-bess,0.2222,0.0689,0.0288,0.0692,0.0002,0.5152,0.0956
108,1914_collingwood-the-first-mate-the-story-of-a-strange-cruise,0.1387,0.0,0.0816,0.0411,0.022,0.6847,0.0319
